City;Gender;Senior Citizen;Partner;Dependents;Tenure Months;Phone Service;Multiple Lines;Internet Service;Online Security;Online Backup;Device Protection;Tech Support;Streaming TV;Streaming Movies;Contract;Paperless Billing;Payment Method;Monthly Charges;Total Charges;Churn Label;Churn Value;Churn Score;CLTV;Churn Reason
Salida;Male;No;No;No;19;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);19,7;386,5;No;0;41;4431;
Sonora;Male;No;Yes;No;22;Yes;No;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);87;1850,65;No;0;49;5233;
Stevinson;Male;No;No;No;12;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);79,95;1043,4;No;0;71;2968;
Tracy;Female;No;Yes;No;31;Yes;No;DSL;Yes;No;No;Yes;No;Yes;One year;Yes;Electronic check;64;1910,75;No;0;24;5191;
Tuolumne;Female;No;No;No;11;Yes;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;64,9;716,1;No;0;80;2775;
Turlock;Male;No;Yes;Yes;68;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;25,75;1686,15;No;0;26;5434;
Turlock;Female;Yes;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);90,15;6716,45;No;0;49;4606;
Twain Harte;Male;Yes;No;No;67;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);116,1;7839,85;No;0;60;5896;
Vernalis;Female;No;No;No;60;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);104,95;6236,75;No;0;62;5926;
Winton;Male;No;Yes;Yes;58;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;No;One year;No;Mailed check;50;2919,85;No;0;45;4704;
Santa Rosa;Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,45;20,45;No;0;51;2664;
Santa Rosa;Female;No;Yes;No;37;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);19,85;717,5;No;0;20;5707;
Santa Rosa;Male;No;No;No;13;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Electronic check;19,95;253,8;No;0;24;2252;
Albion;Male;No;No;No;43;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);26,45;1110,05;No;0;51;3881;
Annapolis;Female;No;No;No;6;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;63,4;348,8;No;0;48;3909;
Boonville;Male;No;No;No;71;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;No;Bank transfer (automatic);53,95;3888,65;No;0;76;4094;
Caspar;Female;No;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Two year;Yes;Electronic check;95,1;6843,15;No;0;25;5584;
Cazadero;Female;Yes;No;No;6;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;74,1;450,9;No;0;79;4716;
Clearlake;Male;No;Yes;Yes;12;No;No phone service;DSL;No;Yes;No;Yes;No;No;Month-to-month;No;Mailed check;35,5;432,25;No;0;75;2562;
Cloverdale;Female;No;Yes;No;21;Yes;No;Fiber optic;No;No;Yes;Yes;No;No;One year;No;Electronic check;79,2;1742,45;No;0;24;4900;
Cobb;Female;No;Yes;Yes;6;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Mailed check;48,8;297,35;No;0;45;4538;
Dos Rios;Female;No;No;No;43;Yes;No;DSL;No;Yes;No;Yes;No;No;One year;No;Electronic check;55,45;2444,25;No;0;48;3350;
Duncans Mills;Female;No;Yes;Yes;35;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);25,4;949,8;No;0;38;5070;
Elk;Male;Yes;Yes;No;32;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;93,5;2970,8;No;0;77;5804;
Forestville;Male;No;No;No;52;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);63,9;3334,95;No;0;36;5380;
Fort Bragg;Male;No;No;No;32;Yes;No;DSL;No;No;No;No;Yes;Yes;One year;Yes;Bank transfer (automatic);64,85;2010,95;No;0;29;4895;
Fulton;Female;No;Yes;Yes;72;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);63,8;4684,3;No;0;32;6107;
Geyserville;Male;No;No;No;51;No;No phone service;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;Yes;Credit card (automatic);44,45;2181,55;No;0;62;6087;
Glen Ellen;Male;No;Yes;Yes;68;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);19,95;1303,25;No;0;70;6492;
Glenhaven;Male;Yes;Yes;No;8;No;No phone service;DSL;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Mailed check;43,35;371,4;No;0;68;2560;
Graton;Male;No;Yes;No;49;No;No phone service;DSL;No;Yes;No;No;Yes;Yes;Two year;No;Credit card (automatic);49,65;2409,9;No;0;29;4283;
Gualala;Female;No;Yes;No;72;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;85,1;6155,4;No;0;39;4147;
Hopland;Male;No;No;No;54;Yes;No;Fiber optic;Yes;No;Yes;No;Yes;No;Month-to-month;No;Mailed check;89,8;4667;No;0;67;4980;
Kelseyville;Female;No;Yes;Yes;50;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;No;Mailed check;103,05;5153,5;No;0;72;5905;
Kenwood;Female;No;Yes;No;69;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;116;8182,85;No;0;37;4216;
Lakeport;Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,9;69,9;No;0;26;3358;
Laytonville;Male;No;Yes;Yes;68;Yes;No;Fiber optic;Yes;Yes;No;Yes;No;Yes;Two year;No;Bank transfer (automatic);95,1;6683,4;No;0;38;5748;
Little River;Male;No;No;Yes;40;No;No phone service;DSL;Yes;Yes;No;Yes;No;No;One year;No;Mailed check;40,25;1564,05;No;0;30;4288;
Lower Lake;Male;No;Yes;Yes;31;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;25,75;755,6;No;0;32;5472;
Lucerne;Female;Yes;No;Yes;33;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);105,35;3465,05;No;0;58;4738;
Manchester;Male;Yes;Yes;No;55;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;113,6;6292,7;No;0;56;5754;
Mendocino;Male;No;Yes;Yes;68;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);24;1664,3;No;0;57;5440;
Middletown;Female;No;Yes;Yes;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);19,4;198,1;No;0;29;3713;
Monte Rio;Male;No;Yes;No;71;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);86,1;6045,9;No;0;52;6286;
Navarro;Male;No;No;No;40;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Mailed check;102,65;4108,15;No;0;52;3655;
Nice;Female;No;Yes;Yes;64;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;One year;Yes;Electronic check;92,85;5980,75;No;0;58;5206;
Occidental;Male;No;Yes;No;53;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;Yes;One year;No;Bank transfer (automatic);97,75;5043,2;No;0;41;4488;
Potter Valley;Male;No;Yes;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;No;Two year;Yes;Credit card (automatic);97,95;7114,25;No;0;22;4256;
Redwood Valley;Male;No;No;No;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Electronic check;19,95;907,05;No;0;55;4006;
Rio Nido;Male;No;No;No;40;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;24,6;973,95;No;0;65;2601;
Sebastopol;Male;No;No;No;12;No;No phone service;DSL;Yes;Yes;No;Yes;Yes;No;Month-to-month;Yes;Bank transfer (automatic);50,95;605,75;No;0;73;2716;
Sonoma;Male;No;No;No;9;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;75,6;661,55;No;0;30;4990;
Ukiah;Female;No;Yes;Yes;51;Yes;Yes;Fiber optic;No;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;80,75;4116,9;No;0;36;6032;
Upper Lake;Male;No;Yes;Yes;49;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Credit card (automatic);90,4;4494,65;No;0;72;5804;
Willits;Female;No;No;No;56;Yes;No;DSL;Yes;No;Yes;Yes;No;No;One year;Yes;Credit card (automatic);60,25;3282,75;No;0;40;4835;
Windsor;Male;No;No;No;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;20,2;55,7;No;0;45;4267;
Witter Springs;Male;No;Yes;No;20;Yes;No;DSL;Yes;No;No;Yes;No;Yes;One year;Yes;Mailed check;64,15;1274,45;No;0;61;5969;
Yorkville;Female;No;Yes;Yes;26;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Credit card (automatic);20,25;493,95;No;0;43;5158;
Alderpoint;Male;No;No;No;51;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;99;5038,15;No;0;78;5787;
Blocksburg;Female;No;No;No;4;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;80,3;324,2;No;0;70;3132;
Mckinleyville;Female;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Credit card (automatic);19,55;19,55;No;0;38;5537;
Arcata;Male;No;Yes;Yes;27;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Month-to-month;No;Electronic check;100,75;2793,55;No;0;31;3160;
Blue Lake;Male;No;No;No;12;Yes;No;DSL;No;Yes;No;Yes;No;No;Month-to-month;Yes;Mailed check;53,75;648,65;No;0;28;5385;
Burnt Ranch;Female;No;Yes;Yes;34;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);25,6;917,15;No;0;43;5854;
Carlotta;Male;No;Yes;No;24;Yes;Yes;DSL;Yes;No;No;Yes;No;No;One year;Yes;Electronic check;58,35;1346,9;No;0;45;5428;
Ferndale;Female;Yes;No;No;14;No;No phone service;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;46,35;672,7;No;0;44;2056;
Fields Landing;Male;No;Yes;No;59;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Electronic check;113,75;6561,25;No;0;23;6251;
Fortuna;Male;No;No;No;3;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;No;Electronic check;90,4;268,45;No;0;61;5625;
Garberville;Female;No;Yes;Yes;65;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;No;Electronic check;109,3;7337,55;No;0;51;6087;
Honeydew;Female;No;Yes;Yes;59;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);90,3;5194,05;No;0;53;4617;
Hoopa;Male;No;Yes;Yes;72;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);65,25;4478,85;No;0;67;6412;
Kneeland;Male;No;No;No;3;Yes;No;DSL;No;No;No;Yes;No;Yes;Month-to-month;No;Mailed check;60,65;196,9;No;0;22;2111;
Korbel;Male;No;No;Yes;19;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Credit card (automatic);24,1;439,2;No;0;35;2378;
Loleta;Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;19,5;19,5;No;0;21;3753;
Mad River;Male;No;No;No;24;Yes;No;Fiber optic;No;Yes;Yes;Yes;No;No;Month-to-month;Yes;Electronic check;85,95;2107,15;No;0;52;5421;
Miranda;Male;Yes;No;No;57;Yes;No;DSL;No;No;Yes;Yes;No;No;One year;Yes;Electronic check;53,5;3035,8;No;0;58;5521;
Myers Flat;Female;No;No;No;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);25,45;1866,45;No;0;42;4118;
Orick;Male;No;No;No;67;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20,5;1430,95;No;0;45;4416;
Orleans;Male;No;Yes;Yes;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);20,85;1071,6;No;0;56;4886;
Petrolia;Male;No;Yes;Yes;71;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);89,9;6457,15;No;0;57;4444;
Phillipsville;Female;No;Yes;No;26;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;26;684,05;No;0;20;2244;
Redway;Female;No;No;No;35;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;113,2;3914,05;No;0;76;5723;
Rio Dell;Female;No;Yes;Yes;55;Yes;No;Fiber optic;No;No;No;No;No;No;Two year;Yes;Credit card (automatic);69,05;3842,6;No;0;67;4318;
Salyer;Female;No;Yes;Yes;33;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20,1;670,35;No;0;25;3700;
Samoa;Male;No;Yes;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Two year;Yes;Electronic check;109,65;7880,25;No;0;25;6181;
Scotia;Male;No;No;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;19,2;19,2;No;0;76;3383;
Somes Bar;Female;Yes;Yes;No;37;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;No;Month-to-month;No;Electronic check;90;3371,75;No;0;62;4048;
Redcrest;Male;No;No;No;12;No;No phone service;DSL;No;Yes;No;Yes;No;No;Month-to-month;No;Mailed check;34;442,45;No;0;39;3215;
Trinidad;Male;No;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20,4;20,4;No;0;54;4540;
Weott;Male;No;Yes;No;62;No;No phone service;DSL;Yes;Yes;No;Yes;No;No;Two year;Yes;Credit card (automatic);38,6;2345,55;No;0;45;4558;
Willow Creek;Female;No;No;No;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);25,25;25,25;No;0;28;4831;
Leggett;Female;No;No;No;18;Yes;Yes;DSL;Yes;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;60,6;1156,35;No;0;74;4459;
Whitethorn;Male;No;No;No;2;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;74,75;144,8;No;0;34;4545;
Zenia;Male;No;Yes;Yes;19;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,6;414,95;No;0;32;2276;
Auburn;Male;No;No;No;9;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,4;181,8;No;0;21;5380;
Auburn;Male;No;No;No;27;Yes;No;DSL;Yes;No;Yes;Yes;Yes;Yes;One year;No;Electronic check;81,7;2212,55;No;0;39;2445;
Capay;Female;Yes;No;No;24;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;20,3;459,95;No;0;71;3740;
Clarksburg;Female;No;No;No;11;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20;211,95;No;0;53;3731;
Cool;Male;No;No;No;1;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;25;25;No;0;53;2371;
Courtland;Male;Yes;No;Yes;38;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;80,45;3162,65;No;0;41;2926;
Davis;Female;No;Yes;Yes;9;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,75;210,65;No;0;24;2427;
Davis;Male;No;Yes;Yes;54;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;Two year;Yes;Credit card (automatic);65,65;3566,7;No;0;49;5725;
Diamond Springs;Female;No;No;No;29;Yes;Yes;DSL;No;No;No;No;Yes;Yes;One year;Yes;Credit card (automatic);71;2080,1;No;0;32;4226;
Dixon;Male;Yes;Yes;No;44;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;89,2;4040,2;No;0;36;2925;
Citrus Heights;Male;No;Yes;Yes;59;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;86,75;5186;No;0;21;5020;
Elk Grove;Female;No;Yes;Yes;18;Yes;No;DSL;Yes;Yes;No;Yes;No;No;One year;Yes;Mailed check;61,5;1087,45;No;0;67;3479;
Elmira;Male;Yes;No;No;67;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);25,1;1672,15;No;0;26;6388;
Esparto;Male;No;No;Yes;33;No;No phone service;DSL;Yes;No;No;Yes;No;No;One year;No;Credit card (automatic);34,05;1113,95;No;0;73;3044;
Fair Oaks;Male;No;No;No;5;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,95;107,05;No;0;20;4281;
Fiddletown;Female;No;No;No;2;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,95;38,15;No;0;40;4079;
Folsom;Male;No;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);89,7;6339,3;No;0;50;4193;
Foresthill;Male;No;No;Yes;9;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,4;184,1;No;0;67;4195;
Galt;Male;No;Yes;Yes;67;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;26,3;1688,9;No;0;52;6066;
Georgetown;Female;No;No;No;8;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;20,7;137,6;No;0;49;3330;
Hood;Male;No;No;No;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);19,45;369,05;No;0;29;5347;
Ione;Female;No;Yes;No;68;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);110,8;7553,6;No;0;67;4545;
Jackson;Female;Yes;Yes;No;25;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,3;1813,1;No;0;50;4442;
Knights Landing;Male;No;No;No;67;No;No phone service;DSL;Yes;No;Yes;Yes;Yes;No;One year;Yes;Bank transfer (automatic);49,35;3321,35;No;0;33;5905;
Kirkwood;Male;No;No;No;32;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);20,35;707,5;No;0;40;2433;
Lincoln;Female;Yes;Yes;No;67;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;Yes;One year;Yes;Electronic check;105,6;7112,15;No;0;45;5768;
Loomis;Male;Yes;Yes;No;72;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);64,45;4641,1;No;0;68;5295;
Madison;Male;No;No;Yes;1;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;49,9;49,9;No;0;39;3239;
North Highlands;Female;No;Yes;No;48;Yes;No;DSL;No;Yes;Yes;No;No;Yes;One year;Yes;Electronic check;65,65;3094,65;No;0;67;5427;
Roseville;Female;No;Yes;No;61;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);103,3;6518,35;No;0;27;5401;
Penryn;Female;No;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;44,45;82,7;No;0;26;5694;
Pioneer;Female;No;Yes;Yes;71;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);89,9;6342,7;No;0;54;5835;
Placerville;Male;No;Yes;No;37;Yes;Yes;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;55,05;2030,75;No;0;26;3839;
Pleasant Grove;Male;No;Yes;Yes;65;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);104,1;6700,05;No;0;25;4024;
Plymouth;Female;No;No;Yes;67;Yes;Yes;Fiber optic;No;Yes;No;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);106,6;7244,7;No;0;65;5895;
Rescue;Male;No;Yes;Yes;50;Yes;Yes;DSL;Yes;No;No;Yes;Yes;No;Two year;Yes;Credit card (automatic);70,5;3486,65;No;0;60;4022;
Rio Linda;Male;No;Yes;Yes;25;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Electronic check;19,6;411,15;No;0;51;2888;
River Pines;Female;No;Yes;Yes;64;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;24,05;1559,15;No;0;55;4582;
Rocklin;Male;No;Yes;No;25;No;No phone service;DSL;No;No;Yes;No;Yes;No;One year;Yes;Credit card (automatic);38,1;970,4;No;0;72;2315;
Sheridan;Male;Yes;Yes;No;24;No;No phone service;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Mailed check;34,25;828,2;No;0;63;2525;
Shingle Springs;Female;No;No;No;37;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;100,05;3810,55;No;0;52;2904;
Sloughhouse;Female;No;No;No;21;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;68,65;1493,2;No;0;21;2006;
Somerset;Male;No;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;45,8;45,8;No;0;30;2614;
Sutter Creek;Female;No;No;No;10;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;75,75;777,3;No;0;52;4525;
Vacaville;Male;No;Yes;No;51;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;Yes;One year;Yes;Credit card (automatic);96,4;4911,05;No;0;26;4745;
Vacaville;Female;No;No;No;10;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;20,55;187,35;No;0;43;3595;
Volcano;Female;No;No;No;6;No;No phone service;DSL;Yes;Yes;No;Yes;No;Yes;Month-to-month;No;Credit card (automatic);50,95;307,6;No;0;79;3474;
Walnut Grove;Male;No;Yes;Yes;47;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;90,5;4318,35;No;0;30;3413;
West Sacramento;Female;No;Yes;Yes;61;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Electronic check;79,4;4820,55;No;0;74;4666;
Wheatland;Female;No;No;No;52;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);58,75;3038,55;No;0;21;5122;
Wilton;Female;No;Yes;Yes;35;Yes;Yes;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);59,45;2136,9;No;0;49;3682;
Winters;Male;No;Yes;No;71;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);105,7;7472,15;No;0;20;4420;
Alta;Male;No;Yes;No;45;Yes;No;DSL;Yes;No;Yes;No;No;No;Two year;No;Credit card (automatic);53,3;2296,25;No;0;79;2929;
Colfax;Male;No;No;No;2;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;24,3;38,45;No;0;77;2515;
Emigrant Gap;Male;No;No;No;51;Yes;Yes;DSL;Yes;No;No;Yes;No;No;One year;No;Credit card (automatic);59,9;3043,6;No;0;42;5233;
Gold Run;Male;No;Yes;Yes;60;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);23,95;1506,4;No;0;71;5449;
Kyburz;Male;No;No;No;9;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;20,15;163,7;No;0;70;4004;
Meadow Vista;Male;No;No;No;17;Yes;Yes;Fiber optic;No;No;Yes;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);95,65;1640;No;0;49;3139;
Soda Springs;Male;No;Yes;Yes;46;Yes;No;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;No;Mailed check;81;3846,35;No;0;57;4280;
Twin Bridges;Female;No;No;No;68;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);82,45;5646,6;No;0;70;5308;
Rancho Cordova;Female;No;Yes;No;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);20,5;79,05;No;0;80;3233;
Roseville;Male;No;No;Yes;28;Yes;No;DSL;No;Yes;No;Yes;No;No;One year;Yes;Credit card (automatic);54,4;1516,6;No;0;74;4711;
Elk Grove;Female;No;No;No;39;Yes;No;DSL;No;Yes;No;No;Yes;No;One year;Yes;Credit card (automatic);58,6;2224,5;No;0;46;5662;
El Dorado Hills;Male;No;No;No;11;Yes;No;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;No;Electronic check;84,8;888,75;No;0;60;4924;
Rocklin;Female;No;Yes;No;71;No;No phone service;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);61,4;4310,35;No;0;37;5119;
Woodland;Male;No;No;Yes;2;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,4;42,9;No;0;77;3000;
